Judul Buku,Jumlah Pinjaman,Lama Pinjaman (Hari)
101 Kisah,26,3
360 Days of Wonder,16,5
500 Tanda Jawab Transaksi Syariah Sehari-hari,21,1
Api Tauhid,6,2
Atlas Sejarah Nabi Muhammad SAW,35,3
Ayah,4,2
Ayahku Bukan Pembohong,2,7
Ayat-ayat Cinta 2,3,1
Bangkitnya Dajjal,4,2
Bersahabat dengan Ajal,26,5
Bidadari-bidadari Surga,15,4
Biografi Empat Imam,5,1
Bumi Masyar,2,1
Cahaya Cinta Pesantren,16,4
Cinta dalam Ikhlas,28,2
Etika Muslimah,29,2
Fihi Ma Fihi,28,4
Fiqh Munakahat,2,2
Fiqih Sunnah Shafwah,2,3
Hujan,23,6
Index Lengkap Ayat Al Quran,18,4
Kamus Munawir,3,3
Kedudukan dan Peran Perempuan,25,2
Kesehatan dalam Perspektif Al Quran,14,2
KeylanDara,7,1
Larangan Naminah,2,2
Misan Catatan Amal,38,6
Muhammad Al-Fatih 1453,21,1
Negeri 5 Menara,29,2
Panduan Etika Muslimah Sehari-hari,29,2
Praktek Kedokteran Nabi Ketika Allah Melihatkan Kekuasaannya,29,2
Sapporo No Niji,27,2
Surau,4,1
Syahwat At-tafasir,27,1
Tafsir Al-Misbah,37,3
Tafsir Ibnu Kasir 5,22,2
Tahajud Cinta,29,1
Tahajud Cinta di Kota New York,26,2
Untuk apa Shalat,31,2
Wawasan Al-Quran,26,1
